Prosema Artikelnummer,Lieferantenartikelnummer,Hauptgruppe,Untergruppe,PROSEMA Kurztext,PROSEMA Langtext,Kurzbeschreibung,Referenz (Matchcode),GTIN (EAN-Nummer),Artikeltyp,Einheit,Kategorie,Aktiv,Im Verkauf,Steuersatz,Im Shop verfügbar,Im Shop aktiv,Bestand übertragen,Gewichtseinheit,Grundmaterial,Oberfläche,Farbe,Produktfamilie,Rabattcode,Verkaufseinheit,Verpackung,VPE 1,VPE 2,VPE 3,Breite in mm,Länge in cm,Höhe in mm,Bodenleger,Dachdecker,Landschaftsgärtner,Plattenleger,Artikelbeschreibung HTML,Nettogewicht kg,Produkt-ID (Prosema),Varianten-ID (Prosema)
wird autogeneriert,J0110225,,,BM 4 Bettungsmörtel,,BM 4 Bettungsmörtel,,4250935100467,BASIC,Stk.,,Nein,Ja,STANDARD,Ja,Ja,Ja,kg,,,grau,Bettungsmörtel,,Sack,25 kg Sack,1,42,420,,,,Nein,Nein,Nein,Nein,,,,
wird autogeneriert,J0110200,,,BM 4 Bettungsmörtel,,BM 4 Bettungsmörtel,,4250935100450,BASIC,kg,,Ja,Ja,STANDARD,Ja,Ja,Ja,kg,,,grau,Bettungsmörtel,,t,lose,,,,,,,Nein,Nein,Nein,Nein,,,,
wird autogeneriert,J0110025,,,BM 4 D Bettungsmörtel,,BM 4 D Bettungsmörtel,,4250935100429,BASIC,Stk.,,Nein,Ja,STANDARD,Ja,Ja,Ja,kg,,,grau,Bettungsmörtel,,Sack,25 kg Sack,,,,,,,Nein,Nein,Nein,Nein,,,,
wird autogeneriert,J0110000,,,BM 4 D Bettungsmörtel,,BM 4 D Bettungsmörtel,,4250935100412,BASIC,kg,,Ja,Ja,STANDARD,Ja,Ja,Ja,kg,,,grau,Bettungsmörtel,,t,lose,,,,,,,Nein,Nein,Nein,Nein,,,,
wird autogeneriert,J0112125,,,GDM GALA Drainmörtel,,GDM GALA Drainmörtel,,4250935102928,BASIC,Stk.,,Ja,Ja,STANDARD,Ja,Ja,Ja,kg,,,grau,Bettungsmörtel,,Sack,25 kg Sack,,,,,,,Nein,Nein,Nein,Nein,,,,
wird autogeneriert,J0112100,,,GDM GALA Drainmörtel,,GDM GALA Drainmörtel,,4250935102911,BASIC,kg,,Ja,Ja,STANDARD,Ja,Ja,Ja,kg,,,grau,Bettungsmörtel,,t,lose,,,,,,,Nein,Nein,Nein,Nein,,,,
wird autogeneriert,J0110125,,,BM 8 D Bettungsmörtel,,BM 8 D Bettungsmörtel,,4250935100443,BASIC,Stk.,,Ja,Ja,STANDARD,Ja,Ja,Ja,kg,,,grau,Bettungsmörtel,,Sack,25 kg Sack,,,,,,,Nein,Nein,Nein,Nein,,,,
wird autogeneriert,J0110100,,,BM 8 D Bettungsmörtel,,BM 8 D Bettungsmörtel,,4250935100436,BASIC,kg,,Ja,Ja,STANDARD,Ja,Ja,Ja,kg,,,grau,Bettungsmörtel,,t,lose,,,,,,,Nein,Nein,Nein,Nein,,,,
wird autogeneriert,J0111625,,,PCC-BM 4 D Bettungsmörtel,,PCC-BM 4 D Bettungsmörtel,,4250935100665,BASIC,Stk.,,Ja,Ja,STANDARD,Ja,Ja,Ja,kg,,,,Bettungsmörtel,,Sack,25 kg Sack,,,,,,,Nein,Nein,Nein,Nein,,,,
wird autogeneriert,J0111600,,,PCC-BM 4 D Bettungsmörtel,,PCC-BM 4 D Bettungsmörtel,,4250935102638,BASIC,kg,,Ja,Ja,STANDARD,Ja,Ja,Ja,kg,,,,Bettungsmörtel,,t,lose,,,,,,,Nein,Nein,Nein,Nein,,,,
wird autogeneriert,J01106*,,,BM-3K Bettungsmörtel,,BM-3K Bettungsmörtel,,4250935100542,BASIC,Stk.,,Ja,Ja,STANDARD,Ja,Ja,Ja,kg,,,,Bettungsmörtel,,Gebinde,"53,5 kg Gebinde",,,,,,,Nein,Nein,Nein,Nein,,,,
wird autogeneriert,J0110925,,,BMB Bettungsmörtel-Bindemittel,,BMB Bettungsmörtel-Bindemittel,,4250935100580,BASIC,Stk.,,Ja,Ja,STANDARD,Ja,Ja,Ja,kg,,,,Bettungsmörtel,,Sack,25 kg Sack,,,,,,,Nein,Nein,Nein,Nein,,,,
wird autogeneriert,J0800025,,,JURALITH Blitzfix,,JURALITH Blitzfix,,,BASIC,Stk.,,Ja,Ja,STANDARD,Ja,Ja,Ja,kg,,,,Beton,,Sack,25 kg Sack,,,,,,,Nein,Nein,Nein,Nein,,,,
wird autogeneriert,J0300025,,,PKS Pflasterkontaktschlämme,,PKS Pflasterkontaktschlämme,,4250935101549,BASIC,Stk.,,Ja,Ja,STANDARD,Ja,Ja,Ja,kg,,,,Pflasterkontaktschlämme / Kleber,,Sack,25 kg Sack,,,,,,,Nein,Nein,Nein,Nein,,,,
wird autogeneriert,J1410933,,,FSK-S2 Feinsteinzeugkleber 2-komp.,,FSK-S2 Feinsteinzeugkleber 2-komp.,,,BASIC,Stk.,,Ja,Ja,STANDARD,Ja,Ja,Ja,kg,,,,Pflasterkontaktschlämme / Kleber,,Sack,25 kg Sack,,,,,,,Nein,Nein,Nein,Nein,,,,
wird autogeneriert,J1400225,,,FFK Flex-Fliesenkleber,,FFK Flex-Fliesenkleber,,,BASIC,Stk.,,Ja,Ja,STANDARD,Ja,Ja,Ja,kg,,,,Pflasterkontaktschlämme / Kleber,,Sack,25 kg Sack,,,,,,,Nein,Nein,Nein,Nein,,,,
