Belegnummer,Datum,Beschreibung,Betrag,Währung,Wechselkurs,Soll,Haben,MWST Code,MWST Konto
import_001,31.01.2024,Miete Januar,1500,CHF,,6000,2300,VB81,6000
import_002,29.02.2024,Miete Februar,1500,CHF,,6000,2300,VB81,6000
import_003,31.03.2024,Miete März,1500,CHF,,6000,2300,VB81,6000
import_004,30.04.2024,Miete April,1500,CHF,,6000,2300,VB81,6000
import_005,31.05.2024,Miete Mai,1500,CHF,,6000,2300,VB81,6000
import_006,30.06.2024,Miete Juni,1500,CHF,,6000,2300,VB81,6000
import_007,31.07.2024,Miete Juli,1500,CHF,,6000,2300,VB81,6000
import_008,31.08.2024,Miete August,1500,CHF,,6000,2300,VB81,6000
import_009,30.09.2024,Miete September,1500,CHF,,6000,2300,VB81,6000
import_010,31.10.2024,Miete Oktober,1500,CHF,,6000,2300,VB81,6000
import_011,30.11.2024,Miete November,1500,CHF,,6000,2300,VB81,6000
import_012,31.12.2024,Miete Dezember,1500,CHF,,6000,2300,VB81,6000
