ARTIKELNAME;Handelssprache;Lokaler Artikelname;Lieferantenartikelnummer;Lieferanten Firmenname;LIEFERANTENNUMMER;Bruttokaufpreis;Zu- und Abschläge Bezeichnung 1;Zu- und Abschläge Preisart 1;Zu- und Abschläge Wert 1;Zu- und Abschläge Bezeichnung 2;Zu- und Abschläge Preisart 2;Zu- und Abschläge Wert 2;Währung;Artikel-Mengeneinheit;Matchcode;Artikel aktiv;Preis-Eintritt;Warengruppen-Name;Warengruppen Beschreibung;Steuersatz;Zugehörigen Verkaufsartikel erstellen oder aktualisieren;Verkaufsartikel-Nummer;Bruttopreis des zugehörigen Verkaufsartikels;Verkaufsartikel-Währung;Vertriebsweg;Vertriebsweg-Steuersatz;Kurztext 1;Handelssprache;Lokalisierte Kurztext 1;Kurztext 2;Handelssprache;Lokalisierte Kurztext 2;Artikelbeschreibung;Handelssprache;Lokalisierte Artikelbeschreibung;Interner Hinweis;Handelssprache;Lokalisierter interner Hinweis;Artikel-Langbeschreibung;Handelssprache;Lokalisierte Lange Artikelbeschreibung;EAN-Nummer;MPN-Nummer;Artikeltyp;Serienartikel;Hersteller;Bruttogewicht;Nettogewicht;Zolltarifnummer;Länge Artikel;Breite Artikel;Höhe Artikel;Herstellertyp;Einführungsdatum;Sicherheitstage;Mindestlagerbestand;Zielbestand;Wiederbeschaffungstage;Durchschnittliche Lieferzeit;Mindestbestellmenge;Gebindemenge;Lieferantenbestand;Dropshipping möglich;In Dropshipping-Automatisierung ignorieren;Kostenstelle Verkauf;Kostenstelle Einkauf;Kostenart;Primäre Bezugsquelle
Abschlussprofil Messing natur 3 mm 250 cm;;;09018030;Dural GmbH;10000;14,88;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;lfm;DSM 30, 250;;15.07.2026;;;;;020.020.0010;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Biegbares Abschlussprofil Messing natur 3 mm 250 cm;;;0901803099;Dural GmbH;10000;17,62;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;lfm;DSM 30-ZF, 250;;15.07.2026;;;;;020.020.0020;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Biegbares Abschlussprofil Messing natur 6mm 250 cm;;;0901806099;Dural GmbH;10000;19,48;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;lfm;DSM 60-ZF, 250;;15.07.2026;;;;;020.020.0030;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Abschlussprofil Messing natur 6mm 250 cm;;;09018063;Dural GmbH;10000;15,84;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;lfm;DSM 60, 250;;15.07.2026;;;;;020.020.0040;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Abschlussprofil Messing natur hochglanzpoliert 6mm 250 cm;;;09018064;Dural GmbH;10000;28,78;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;lfm;DSM 60-SP, 250;;15.07.2026;;;;;020.020.0050;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Biegbares Abschlussprofil Messing natur 8 mm 250 cm;;;0901808099;Dural GmbH;10000;20,54;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;lfm;DSM 80-ZF, 250;;15.07.2026;;;;;020.020.0060;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Abschlussprofil Messing natur 8 mm 250 cm;;;09018083;Dural GmbH;10000;16,82;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;lfm;DSM 80, 250;;15.07.2026;;;;;020.020.0070;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Abschlussprofil Messing natur hochglanzpoliert 8 mm 250 cm;;;09018084;Dural GmbH;10000;29,82;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;lfm;DSM 80-SP, 250;;15.07.2026;;;;;020.020.0080;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Abschlussprofil Messing natur 9 mm 250 cm;;;09018090;Dural GmbH;10000;17,34;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;lfm;DSM 90, 250;;15.07.2026;;;;;020.020.0090;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Biegbares Abschlussprofil Messing natur 10 mm 250 cm;;;0901810099;Dural GmbH;10000;21,76;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;lfm;DSM 100-ZF, 250;;15.07.2026;;;;;020.020.0100;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Abschlussprofil Messing natur 10 mm 250 cm;;;09018103;Dural GmbH;10000;18,04;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;lfm;DSM 100, 250;;15.07.2026;;;;;020.020.0110;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Abschlussprofil Messing natur hochglanzpoliert 10 mm 250 cm;;;09018104;Dural GmbH;10000;31,04;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;lfm;DSM 100-SP, 250;;15.07.2026;;;;;020.020.0120;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Abschlussprofil Messing natur 11 mm 250 cm;;;09018110;Dural GmbH;10000;18,56;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;lfm;DSM 110, 250;;15.07.2026;;;;;020.020.0130;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Biegbares Abschlussprofil Messing natur 11 mm 250 cm;;;0901811099;Dural GmbH;10000;22,3;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;lfm;DSM 110-ZF, 250;;15.07.2026;;;;;020.020.0140;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Biegbares Abschlussprofil Messing natur 12,5 mm 250 cm;;;0901812099;Dural GmbH;10000;22,82;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;lfm;DSM 125-ZF, 250;;15.07.2026;;;;;020.020.0150;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Abschlussprofil Messing natur 12,5 mm 250 cm;;;09018123;Dural GmbH;10000;19,04;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;lfm;DSM 125, 250;;15.07.2026;;;;;020.020.0160;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Abschlussprofil Messing natur hochglanzpoliert 12,5 mm 250 cm;;;09018124;Dural GmbH;10000;32,02;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;lfm;DSM 125-SP, 250;;15.07.2026;;;;;020.020.0170;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Abschlussprofil Messing natur 15 mm 250 cm;;;09018150;Dural GmbH;10000;21,52;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;lfm;DSM 150, 250;;15.07.2026;;;;;020.020.0180;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Biegbares Abschlussprofil Messing natur 15 mm 250 cm;;;0901815099;Dural GmbH;10000;24,28;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;lfm;DSM 150-ZF, 250;;15.07.2026;;;;;020.020.0190;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Abschlussprofil Messing natur 18,5 mm 250 cm;;;09018180;Dural GmbH;10000;24,1;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;lfm;DSM 185, 250;;15.07.2026;;;;;020.020.0200;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Biegbares Abschlussprofil Messing natur 18,5 mm 250 cm;;;0901818099;Dural GmbH;10000;26,98;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;lfm;DSM 185-ZF, 250;;15.07.2026;;;;;020.020.0210;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Abschlussprofil Messing natur 20 mm 250 cm;;;09018200;Dural GmbH;10000;24,96;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;lfm;DSM 200, 250;;15.07.2026;;;;;020.020.0220;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Biegbares Abschlussprofil Messing natur 20 mm 250 cm;;;0901820099;Dural GmbH;10000;27,92;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;lfm;DSM 200-ZF, 250;;15.07.2026;;;;;020.020.0230;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Abschlussprofil Messing natur 22 mm 250 cm;;;09018220;Dural GmbH;10000;26,52;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;lfm;DSM 220, 250;;15.07.2026;;;;;020.020.0240;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Abschlussprofil Messing natur 25 mm 250 cm;;;09018250;Dural GmbH;10000;28,3;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;lfm;DSM 250, 250;;15.07.2026;;;;;020.020.0250;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Balkonwinkelprofil Edelstahl (V2A, 304) silber 80 × 55 mm;;;9020551;Dural GmbH;10000;28,98;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;Stk.;BWE 55-XC, 1;;15.07.2026;;;;;050.010.0010;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Balkonwinkelprofil Edelstahl (V2A, 304) silber 80 × 55 mm;;;09020552;Dural GmbH;10000;40,58;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;Stk.;BWE 55-X, 1;;15.07.2026;;;;;050.010.0020;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Balkonwinkelprofil Edelstahl (V2A, 304) natur 80 × 75 mm;;;09020751;Dural GmbH;10000;32,6;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;Stk.;BWE 75-XC, 1;;15.07.2026;;;;;050.010.0030;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Balkonwinkelprofil Edelstahl (V2A, 304) silber 80 × 75 mm;;;09020752;Dural GmbH;10000;51,00;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;Stk.;BWE 75-X, 1;;15.07.2026;;;;;050.010.0040;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Balkonwinkelprofil Edelstahl (V2A, 304) silber 80 × 95 mm;;;09020951;Dural GmbH;10000;36,74;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;Stk.;BWE 95-XC, 1;;15.07.2026;;;;;050.010.0050;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Balkonwinkelprofil Edelstahl (V2A, 304) silber 80 × 95 mm;;;09020952;Dural GmbH;10000;57,42;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;Stk.;BWE 95-X, 1;;15.07.2026;;;;;050.010.0060;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Abschlussprofil Edelstahl (V2A, 304) natur 6mm 100 cm;;;9021060;Dural GmbH;10000;1,55;;DISCOUNT_PCT;;;DISCOUNT_PCT;;EUR;lfm;DSE 60, 100;;15.07.2026;;;;;020.020.0260;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Abschlussprofil Edelstahl (V2A, 304) natur 8 mm 100 cm;;;09021080;Dural GmbH;10000;18,98;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;lfm;DSE 80, 100;;15.07.2026;;;;;020.020.0270;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Abschlussprofil Edelstahl (V2A, 304) natur 10 mm 100 cm;;;09021100;Dural GmbH;10000;19,92;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;lfm;DSE 100, 100;;15.07.2026;;;;;020.020.0280;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Abschlussprofil Edelstahl (V2A, 304) natur 11 mm 100 cm;;;09021110;Dural GmbH;10000;1,41;;DISCOUNT_PCT;;;DISCOUNT_PCT;;EUR;lfm;DSE 110, 100;;15.07.2026;;;;;020.020.0290;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Abschlussprofil Edelstahl (V2A, 304) natur 12,5 mm 100 cm;;;09021120;Dural GmbH;10000;20,46;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;lfm;DSE 125, 100;;15.07.2026;;;;;020.020.0300;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Abschlussprofil Edelstahl (V2A, 304) natur 6mm 300 cm;;;09022060;Dural GmbH;10000;1,35;;DISCOUNT_PCT;;;DISCOUNT_PCT;;EUR;lfm;DSE 60, 300;;15.07.2026;;;;;020.020.0310;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Abschlussprofil Edelstahl (V2A, 304) natur 8 mm 300 cm;;;09022080;Dural GmbH;10000;1,40;;DISCOUNT_PCT;;;DISCOUNT_PCT;;EUR;lfm;DSE 80, 300;;15.07.2026;;;;;020.020.0320;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Abschlussprofil Edelstahl (V2A, 304) natur 9 mm 300 cm;;;09022090;Dural GmbH;10000;1,50;;DISCOUNT_PCT;;;DISCOUNT_PCT;;EUR;lfm;DSE 90, 300;;15.07.2026;;;;;020.020.0330;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Abschlussprofil Edelstahl (V2A, 304) natur 10 mm 300 cm;;;09022100;Dural GmbH;10000;1,35;;DISCOUNT_PCT;;;DISCOUNT_PCT;;EUR;lfm;DSE 100, 300;;15.07.2026;;;;;020.020.0340;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Abschlussprofil Edelstahl (V2A, 304) natur 11 mm 300 cm;;;09022110;Dural GmbH;10000;1,41;;DISCOUNT_PCT;;;DISCOUNT_PCT;;EUR;lfm;DSE 110, 300;;15.07.2026;;;;;020.020.0350;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Abschlussprofil Edelstahl (V2A, 304) natur 12,5 mm 300 cm;;;09022120;Dural GmbH;10000;1,50;;DISCOUNT_PCT;;;DISCOUNT_PCT;;EUR;lfm;DSE 125, 300;;15.07.2026;;;;;020.020.0360;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
