ARTIKELNAME;Handelssprache;Lokaler Artikelname;Lieferantenartikelnummer;Lieferanten Firmenname;LIEFERANTENNUMMER;Bruttokaufpreis;Zu- und Abschläge Bezeichnung 1;Zu- und Abschläge Preisart 1;Zu- und Abschläge Wert 1;Zu- und Abschläge Bezeichnung 2;Zu- und Abschläge Preisart 2;Zu- und Abschläge Wert 2;Währung;Artikel-Mengeneinheit;Matchcode;Artikel aktiv;Preis-Eintritt;Warengruppen-Name;Warengruppen Beschreibung;Steuersatz;Zugehörigen Verkaufsartikel erstellen oder aktualisieren;Verkaufsartikel-Nummer;Bruttopreis des zugehörigen Verkaufsartikels;Verkaufsartikel-Währung;Vertriebsweg;Vertriebsweg-Steuersatz;Kurztext 1;Handelssprache;Lokalisierte Kurztext 1;Kurztext 2;Handelssprache;Lokalisierte Kurztext 2;Artikelbeschreibung;Handelssprache;Lokalisierte Artikelbeschreibung;Interner Hinweis;Handelssprache;Lokalisierter interner Hinweis;Artikel-Langbeschreibung;Handelssprache;Lokalisierte Lange Artikelbeschreibung;EAN-Nummer;MPN-Nummer;Artikeltyp;Serienartikel;Hersteller;Bruttogewicht;Nettogewicht;Zolltarifnummer;Länge Artikel;Breite Artikel;Höhe Artikel;Herstellertyp;Einführungsdatum;Sicherheitstage;Mindestlagerbestand;Zielbestand;Wiederbeschaffungstage;Durchschnittliche Lieferzeit;Mindestbestellmenge;Gebindemenge;Lieferantenbestand;Dropshipping möglich;In Dropshipping-Automatisierung ignorieren;Kostenstelle Verkauf;Kostenstelle Einkauf;Kostenart;Primäre Bezugsquelle
Abschlussprofil Messing natur 3 mm 250 cm;;;09018030;;10000;14,88;Grundrabatt · Dural Preisliste 2026-08 · Fliesenprofile · Kat. A · 50%;DISCOUNT_PCT;50;Kundenrabatt · Dural Preisliste 2026-08 · Kat. A · 50%;DISCOUNT_PCT;50;EUR;lfm;DSM 30, 250;;25.08.2026;;;;;;;EUR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;ja
Klebedichtstoff MS-Polymer weiss 310 ml;;;085000311M;;10000;5,90;Grundrabatt · Dural Preisliste 2026-08 · Profile, Duschrinnen & Zubehoer · Kat. NET · 50%;DISCOUNT_PCT;50;Kundenrabatt · Dural Preisliste 2026-08 · Kat. NET · 15%;DISCOUNT_PCT;15;EUR;Stk.;FLEX 310 M, 1;;25.08.2026;;;;;;;EUR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;ja
Biegbares Abschlussprofil Messing natur 3 mm 250 cm;;;0901803099;;10000;17,62;Grundrabatt · Dural Preisliste 2026-08 · Fliesenprofile · Kat. A · 50%;DISCOUNT_PCT;50;Kundenrabatt · Dural Preisliste 2026-08 · Kat. A · 50%;DISCOUNT_PCT;50;EUR;lfm;DSM 30-ZF, 250;;25.08.2026;;;;;;;EUR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;ja
Biegbares Abschlussprofil Messing natur 6mm 250 cm;;;0901806099;;10000;19,48;Grundrabatt · Dural Preisliste 2026-08 · Fliesenprofile · Kat. A · 50%;DISCOUNT_PCT;50;Kundenrabatt · Dural Preisliste 2026-08 · Kat. A · 50%;DISCOUNT_PCT;50;EUR;lfm;DSM 60-ZF, 250;;25.08.2026;;;;;;;EUR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;ja
Abschlussprofil Messing natur 6mm 250 cm;;;09018063;;10000;15,84;Grundrabatt · Dural Preisliste 2026-08 · Fliesenprofile · Kat. A · 50%;DISCOUNT_PCT;50;Kundenrabatt · Dural Preisliste 2026-08 · Kat. A · 50%;DISCOUNT_PCT;50;EUR;lfm;DSM 60, 250;;25.08.2026;;;;;;;EUR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;ja
Abschlussprofil Messing natur hochglanzpoliert 6mm 250 cm;;;09018064;;10000;28,78;Grundrabatt · Dural Preisliste 2026-08 · Fliesenprofile · Kat. A · 50%;DISCOUNT_PCT;50;Kundenrabatt · Dural Preisliste 2026-08 · Kat. A · 50%;DISCOUNT_PCT;50;EUR;lfm;DSM 60-SP, 250;;25.08.2026;;;;;;;EUR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;ja
Biegbares Abschlussprofil Messing natur 8 mm 250 cm;;;0901808099;;10000;20,54;Grundrabatt · Dural Preisliste 2026-08 · Fliesenprofile · Kat. A · 50%;DISCOUNT_PCT;50;Kundenrabatt · Dural Preisliste 2026-08 · Kat. A · 50%;DISCOUNT_PCT;50;EUR;lfm;DSM 80-ZF, 250;;25.08.2026;;;;;;;EUR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;ja
Abschlussprofil Messing natur 8 mm 250 cm;;;09018083;;10000;16,82;Grundrabatt · Dural Preisliste 2026-08 · Fliesenprofile · Kat. A · 50%;DISCOUNT_PCT;50;Kundenrabatt · Dural Preisliste 2026-08 · Kat. A · 50%;DISCOUNT_PCT;50;EUR;lfm;DSM 80, 250;;25.08.2026;;;;;;;EUR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;ja
Abschlussprofil Messing natur hochglanzpoliert 8 mm 250 cm;;;09018084;;10000;29,82;Grundrabatt · Dural Preisliste 2026-08 · Fliesenprofile · Kat. A · 50%;DISCOUNT_PCT;50;Kundenrabatt · Dural Preisliste 2026-08 · Kat. A · 50%;DISCOUNT_PCT;50;EUR;lfm;DSM 80-SP, 250;;25.08.2026;;;;;;;EUR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;ja
Abschlussprofil Messing natur 9 mm 250 cm;;;09018090;;10000;17,34;Grundrabatt · Dural Preisliste 2026-08 · Fliesenprofile · Kat. A · 50%;DISCOUNT_PCT;50;Kundenrabatt · Dural Preisliste 2026-08 · Kat. A · 50%;DISCOUNT_PCT;50;EUR;lfm;DSM 90, 250;;25.08.2026;;;;;;;EUR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;ja
