Prosema Artikelnummer,Kategorie,Lieferanten Firmenname,Artikelnr.,Beschreibung,PROSEMA Kurztext,PROSEMA Langtext,SEO Meta Title,SEO Meta Description,Fokus-Keyword,Shopify Tags,Datenstatus,Referenz (Matchcode),Hauptgruppe,Untergruppe,Produktfamilie,Grundmaterial,Oberfläche,Farbe,Breite mm,Länge cm,Höhe mm,Basiseinheitencode,Nettogewicht kg,Verpackung,GTIN (EAN-Nummer),Zolltarifnummer,Einkaufspreis EUR netto,"Verkaufspreis €, BE",Einkaufspreis Prosema,Verkaufspreis,Verkaufspreis o. Verkn.,Verkaufseinheit,Rabattkategorie_Lieferant,VPE 1,VPE 2,VPE 3,Lieferantennummer,Produktfoto 1
020.020.0010,200 Profile.210 Messing.0001,Dural GmbH,09018030,DSM 30 250 CM MESSING NATUR,Abschlussprofil Messing natur 3 mm 250 cm,"Abschlussprofil aus Messing natur für den sauberen Abschluss keramischer Wand- und Bodenbeläge. Das Profil schützt freiliegende Belagskanten und bildet eine gerade, belastbare Abschlusskante. Abmessung: 3 mm 250 cm; Material: Messing; Farbe: natur; Artikelnummer: 09018030.",Abschlussprofil Messing natur 3 mm 250 cm | PROSEMA,Abschlussprofil aus Messing natur für den sauberen Abschluss keramischer Wand- und Bodenbeläge.,Abschlussprofil Messing,"Abschlussprofil, Fliesenprofil, Messing, natur, 3 mm 250 cm, Wand, Boden",PPDS 1.2 geprüft,"DSM 30, 250",Profile,Abschlussprofile Winkel,DUROSOL,Messing,[unbehandelt],Natur,,250,3,lfm,"0,162",,4018448005002,74072190,4.65,14.88,,,,"€, lfm",A,10,40,300,10000,"https:, images.onetimepim.com, acc-90, images, dural_durosol_dsm_natural.jpg?v=3"
020.020.0020,,Dural GmbH,0901803099,DSM 30-ZF 250 CM MESSING NATUR,Biegbares Abschlussprofil Messing natur 3 mm 250 cm,"Biegbares Abschlussprofil aus Messing natur für den sauberen Abschluss keramischer Wand- und Bodenbeläge. Das Profil schützt freiliegende Belagskanten und bildet eine gerade, belastbare Abschlusskante. Abmessung: 3 mm 250 cm; Material: Messing; Farbe: natur; Artikelnummer: 0901803099.",Biegbares Abschlussprofil Messing natur 3 mm 250 cm | PROSEMA,Biegbares Abschlussprofil aus Messing natur für den sauberen Abschluss keramischer Wand- und Bodenbeläge.,Biegbares Abschlussprofil Messing,"Biegbares Abschlussprofil, Fliesenprofil, Messing, natur, 3 mm 250 cm, Wand, Boden",PPDS 1.2 geprüft,"DSM 30-ZF, 250",Profile,Abschlussprofile Winkel,DUROSOL,Messing,[unbehandelt],Natur,,250,3,lfm,"0,16",,4018448053706,74072190,,17.62,,,,"€, lfm",A,10,40,,10000,"https:, images.onetimepim.com, acc-90, images, dural_durosol_dsm_zf.jpg"
020.020.0030,,Dural GmbH,0901806099,DSM 60-ZF 250 CM MESSING NATUR,Biegbares Abschlussprofil Messing natur 6mm 250 cm,"Biegbares Abschlussprofil aus Messing natur für den sauberen Abschluss keramischer Wand- und Bodenbeläge. Das Profil schützt freiliegende Belagskanten und bildet eine gerade, belastbare Abschlusskante. Abmessung: 6mm 250 cm; Material: Messing; Farbe: natur; Artikelnummer: 0901806099.",Biegbares Abschlussprofil Messing natur 250 cm | PROSEMA,Biegbares Abschlussprofil aus Messing natur für den sauberen Abschluss keramischer Wand- und Bodenbeläge.,Biegbares Abschlussprofil Messing,"Biegbares Abschlussprofil, Fliesenprofil, Messing, natur, 6mm 250 cm, Wand, Boden",PPDS 1.2 geprüft,"DSM 60-ZF, 250",Profile,Abschlussprofile Winkel,DUROSOL,Messing,[unbehandelt],Natur,,250,6,lfm,"0,201",,4018448053720,74072190,,19.48,,,,"€, lfm",A,10,40,,10000,"https:, images.onetimepim.com, acc-90, images, dural_durosol_dsm_zf.jpg"
020.020.0040,,Dural GmbH,09018063,DSM 60 250 CM MESSING NATUR,Abschlussprofil Messing natur 6mm 250 cm,"Abschlussprofil aus Messing natur für den sauberen Abschluss keramischer Wand- und Bodenbeläge. Das Profil schützt freiliegende Belagskanten und bildet eine gerade, belastbare Abschlusskante. Abmessung: 6mm 250 cm; Material: Messing; Farbe: natur; Artikelnummer: 09018063.",Abschlussprofil Messing natur 250 cm | PROSEMA,Abschlussprofil aus Messing natur für den sauberen Abschluss keramischer Wand- und Bodenbeläge.,Abschlussprofil Messing,"Abschlussprofil, Fliesenprofil, Messing, natur, 6mm 250 cm, Wand, Boden",PPDS 1.2 geprüft,"DSM 60, 250",Profile,Abschlussprofile Winkel,DUROSOL,Messing,[unbehandelt],Natur,,250,6,lfm,"0,197",,4018448039472,74072190,,15.84,,,,"€, lfm",A,10,40,300,10000,"https:, images.onetimepim.com, acc-90, images, dural_durosol_dsm_natural.jpg?v=3"
020.020.0050,,Dural GmbH,09018064,DSM 60-SP 250 CM MESSING POLIERT,Abschlussprofil Messing natur hochglanzpoliert 6mm 250 cm,"Abschlussprofil aus Messing natur hochglanzpoliert für den sauberen Abschluss keramischer Wand- und Bodenbeläge. Das Profil schützt freiliegende Belagskanten und bildet eine gerade, belastbare Abschlusskante. Abmessung: 250 cm; Material: Messing; Oberfläche: hochglanzpoliert; Farbe: natur; Artikelnummer: 09018064.",Abschlussprofil Messing natur hochglanzpoliert 250 cm | PROSEMA,Abschlussprofil aus Messing natur hochglanzpoliert für den sauberen Abschluss keramischer Wand- und Bodenbeläge.,Abschlussprofil Messing,"Abschlussprofil, Fliesenprofil, Messing, natur, 6mm 250 cm, Wand, Boden",PPDS 1.2 geprüft,"DSM 60-SP, 250",Profile,Abschlussprofile Winkel,DUROSOL,Messing,[hochglanzpoliert],Natur,,250,6,lfm,"0,197",,4018448039571,74072190,,28.78,,,,"€, lfm",A,10,40,300,10000,"https:, images.onetimepim.com, acc-90, images, dural_durosol_dsm-sp.jpg"
020.020.0060,,Dural GmbH,0901808099,DSM 80-ZF 250 CM MESSING NATUR,Biegbares Abschlussprofil Messing natur 8 mm 250 cm,"Biegbares Abschlussprofil aus Messing natur für den sauberen Abschluss keramischer Wand- und Bodenbeläge. Das Profil schützt freiliegende Belagskanten und bildet eine gerade, belastbare Abschlusskante. Abmessung: 8 mm 250 cm; Material: Messing; Farbe: natur; Artikelnummer: 0901808099.",Biegbares Abschlussprofil Messing natur 8 mm 250 cm | PROSEMA,Biegbares Abschlussprofil aus Messing natur für den sauberen Abschluss keramischer Wand- und Bodenbeläge.,Biegbares Abschlussprofil Messing,"Biegbares Abschlussprofil, Fliesenprofil, Messing, natur, 8 mm 250 cm, Wand, Boden",PPDS 1.2 geprüft,"DSM 80-ZF, 250",Profile,Abschlussprofile Winkel,DUROSOL,Messing,[unbehandelt],Natur,,250,8,lfm,"0,232",,4018448053737,74072190,,20.54,,,,"€, lfm",A,10,40,,10000,"https:, images.onetimepim.com, acc-90, images, dural_durosol_dsm_zf.jpg"
020.020.0070,,Dural GmbH,09018083,DSM 80 250 CM MESSING NATUR,Abschlussprofil Messing natur 8 mm 250 cm,"Abschlussprofil aus Messing natur für den sauberen Abschluss keramischer Wand- und Bodenbeläge. Das Profil schützt freiliegende Belagskanten und bildet eine gerade, belastbare Abschlusskante. Abmessung: 8 mm 250 cm; Material: Messing; Farbe: natur; Artikelnummer: 09018083.",Abschlussprofil Messing natur 8 mm 250 cm | PROSEMA,Abschlussprofil aus Messing natur für den sauberen Abschluss keramischer Wand- und Bodenbeläge.,Abschlussprofil Messing,"Abschlussprofil, Fliesenprofil, Messing, natur, 8 mm 250 cm, Wand, Boden",PPDS 1.2 geprüft,"DSM 80, 250",Profile,Abschlussprofile Winkel,DUROSOL,Messing,[unbehandelt],Natur,,250,8,lfm,"0,222",,4018448039540,74072190,,16.82,,,,"€, lfm",A,10,40,300,10000,"https:, images.onetimepim.com, acc-90, images, dural_durosol_dsm_natural.jpg?v=3"
020.020.0080,,Dural GmbH,09018084,DSM 80-SP 250 CM MESSING POLIERT,Abschlussprofil Messing natur hochglanzpoliert 8 mm 250 cm,"Abschlussprofil aus Messing natur hochglanzpoliert für den sauberen Abschluss keramischer Wand- und Bodenbeläge. Das Profil schützt freiliegende Belagskanten und bildet eine gerade, belastbare Abschlusskante. Abmessung: 8 mm 250 cm; Material: Messing; Oberfläche: hochglanzpoliert; Farbe: natur; Artikelnummer: 09018084.",Abschlussprofil Messing natur hochglanzpoliert 8 mm 250 cm | PROSEMA,Abschlussprofil aus Messing natur hochglanzpoliert für den sauberen Abschluss keramischer Wand- und Bodenbeläge.,Abschlussprofil Messing,"Abschlussprofil, Fliesenprofil, Messing, natur, 8 mm 250 cm, Wand, Boden",PPDS 1.2 geprüft,"DSM 80-SP, 250",Profile,Abschlussprofile Winkel,DUROSOL,Messing,[hochglanzpoliert],Natur,,250,8,lfm,"0,222",,4018448039601,74072190,,29.82,,,,"€, lfm",A,10,40,300,10000,"https:, images.onetimepim.com, acc-90, images, dural_durosol_dsm-sp.jpg"
020.020.0090,,Dural GmbH,09018090,DSM 90 250 CM MESSING NATUR,Abschlussprofil Messing natur 9 mm 250 cm,"Abschlussprofil aus Messing natur für den sauberen Abschluss keramischer Wand- und Bodenbeläge. Das Profil schützt freiliegende Belagskanten und bildet eine gerade, belastbare Abschlusskante. Abmessung: 9 mm 250 cm; Material: Messing; Farbe: natur; Artikelnummer: 09018090.",Abschlussprofil Messing natur 9 mm 250 cm | PROSEMA,Abschlussprofil aus Messing natur für den sauberen Abschluss keramischer Wand- und Bodenbeläge.,Abschlussprofil Messing,"Abschlussprofil, Fliesenprofil, Messing, natur, 9 mm 250 cm, Wand, Boden",PPDS 1.2 geprüft,"DSM 90, 250",Profile,Abschlussprofile Winkel,DUROSOL,Messing,[unbehandelt],Natur,,250,9,lfm,"0,237",,4018448005958,74072190,,17.34,,,,"€, lfm",A,10,40,300,10000,"https:, images.onetimepim.com, acc-90, images, dural_durosol_dsm_natural.jpg?v=3"
020.020.0100,,Dural GmbH,0901810099,DSM 100-ZF 250 CM MESSING NATUR,Biegbares Abschlussprofil Messing natur 10 mm 250 cm,"Biegbares Abschlussprofil aus Messing natur für den sauberen Abschluss keramischer Wand- und Bodenbeläge. Das Profil schützt freiliegende Belagskanten und bildet eine gerade, belastbare Abschlusskante. Abmessung: 10 mm 250 cm; Material: Messing; Farbe: natur; Artikelnummer: 0901810099.",Biegbares Abschlussprofil Messing natur 10 mm 250 cm | PROSEMA,Biegbares Abschlussprofil aus Messing natur für den sauberen Abschluss keramischer Wand- und Bodenbeläge.,Biegbares Abschlussprofil Messing,"Biegbares Abschlussprofil, Fliesenprofil, Messing, natur, 10 mm 250 cm, Wand, Boden",PPDS 1.2 geprüft,"DSM 100-ZF, 250",Profile,Abschlussprofile Winkel,DUROSOL,Messing,[unbehandelt],Natur,,250,10,lfm,"0,264",,4018448053751,74072190,,21.76,,,,"€, lfm",A,10,40,,10000,"https:, images.onetimepim.com, acc-90, images, dural_durosol_dsm_zf.jpg"
