Prosema Artikelnummer,Lieferantenartikelnummer,Hauptgruppe,Untergruppe,PROSEMA Kurztext,PROSEMA Langtext,Kurzbeschreibung,Referenz (Matchcode),GTIN (EAN-Nummer),Artikeltyp,Einheit,Kategorie,Aktiv,Im Verkauf,Steuersatz,Im Shop verfügbar,Im Shop aktiv,Bestand übertragen,Gewichtseinheit,Grundmaterial,Oberfläche,Farbe,Produktfamilie,Rabattcode,Verkaufseinheit,Verpackung,VPE 1,VPE 2,VPE 3,Breite in mm,Länge in cm,Höhe in mm,Bodenleger,Dachdecker,Landschaftsgärtner,Plattenleger,Artikelbeschreibung HTML,Nettogewicht kg,Produkt-ID (Prosema),Varianten-ID (Prosema),Einkaufspreis EUR netto,Lieferanten Firmenname,Lieferantennummer,"Verkaufspreis €, BE",Zolltarifnummer,weclapp Artikel-ID,weclapp Bezugsquelle-ID,weclapp Breite (m),weclapp Einheit-ID,weclapp Erstellt am,weclapp Geändert am,weclapp Kategorie-ID,weclapp Version
Standard-Ladehilfsmittel,,,,Standard-Ladehilfsmittel,,Standard-Ladehilfsmittel,,,LOADING_EQUIPMENT,Stk.,,Ja,Ja,STANDARD,Ja,Ja,Nein,,,,,,,,,,,,,,,,,,,,,,,,,,,,4216,,,3566,03.06.2026 15:14,21.08.2026 13:14,,7
020.020.0010,09018030,Profile,Abschlussprofile Winkel,Abschlussprofil Messing natur 3 mm 250 cm,"Abschlussprofil aus Messing natur für den sauberen Abschluss keramischer Wand- und Bodenbeläge. Das Profil schützt freiliegende Belagskanten und bildet eine gerade, belastbare Abschlusskante. Abmessung: 3 mm 250 cm, Material: Messing, Farbe: natur, Artikelnummer: 09018030.",Abschlussprofil Messing natur 3 mm 250 cm,"DSM 30, 250",4018448005002,STORABLE,lfm,gid://shopify/Product/15986683445578,Ja,Ja,STANDARD,Ja,Ja,Nein,KILOGRAM,Messing,unbehandelt,Natur,DUROSOL,A,lfm,,10,40,300,,250,3,,,,,,"0,162",gid://shopify/Product/15986683445578,gid://shopify/ProductVariant/63188149698890,14.88,DURAL GmbH,10000,6.22,74072190,106693,4418,,4259,05.07.2026 20:08,24.08.2026 16:30,20327,17
020.020.0020,0901803099,Profile,Abschlussprofile Winkel,Biegbares Abschlussprofil Messing natur 3 mm 250 cm,"Biegbares Abschlussprofil aus Messing natur für den sauberen Abschluss keramischer Wand- und Bodenbeläge. Das Profil schützt freiliegende Belagskanten und bildet eine gerade, belastbare Abschlusskante. Abmessung: 3 mm 250 cm, Material: Messing, Farbe: natur, Artikelnummer: 0901803099.",Biegbares Abschlussprofil Messing natur 3 mm 250 cm,"DSM 30-ZF, 250",4018448053706,STORABLE,lfm,gid://shopify/Product/15986684264778,Ja,Ja,STANDARD,Ja,Ja,Nein,KILOGRAM,Messing,unbehandelt,Natur,DUROSOL,A,lfm,,10,40,,,250,3,,,,,,"0,16",gid://shopify/Product/15986684264778,gid://shopify/ProductVariant/63188183679306,17.62,DURAL GmbH,10000,7.38,74072190,106694,150478,,4259,05.07.2026 20:08,24.08.2026 16:30,20327,16
020.020.0030,0901806099,Profile,Abschlussprofile Winkel,Biegbares Abschlussprofil Messing natur 6mm 250 cm,"Biegbares Abschlussprofil aus Messing natur für den sauberen Abschluss keramischer Wand- und Bodenbeläge. Das Profil schützt freiliegende Belagskanten und bildet eine gerade, belastbare Abschlusskante. Abmessung: 250 cm, Material: Messing, Farbe: natur, Artikelnummer: 0901806099.",Biegbares Abschlussprofil Messing natur 6mm 250 cm,"DSM 60-ZF, 250",4018448053720,STORABLE,lfm,gid://shopify/Product/15986684985674,Ja,Ja,STANDARD,Ja,Ja,Nein,KILOGRAM,Messing,unbehandelt,Natur,DUROSOL,A,lfm,,10,40,,,250,6,,,,,,"0,201",gid://shopify/Product/15986684985674,gid://shopify/ProductVariant/63188200784202,19.48,DURAL GmbH,10000,8.15,74072190,106695,150482,,4259,05.07.2026 20:08,24.08.2026 16:30,20327,16
020.020.0040,09018063,Profile,Abschlussprofile Winkel,Abschlussprofil Messing natur 6mm 250 cm,"Abschlussprofil aus Messing natur für den sauberen Abschluss keramischer Wand- und Bodenbeläge. Das Profil schützt freiliegende Belagskanten und bildet eine gerade, belastbare Abschlusskante. Abmessung: 250 cm, Material: Messing, Farbe: natur, Artikelnummer: 09018063.",Abschlussprofil Messing natur 6mm 250 cm,"DSM 60, 250",4018448039472,STORABLE,lfm,gid://shopify/Product/15986685772106,Ja,Ja,STANDARD,Ja,Ja,Nein,KILOGRAM,Messing,unbehandelt,Natur,DUROSOL,A,lfm,,10,40,300,,250,6,,,,,,"0,197",gid://shopify/Product/15986685772106,gid://shopify/ProductVariant/63188217954634,15.84,DURAL GmbH,10000,6.63,74072190,106696,150486,,4259,05.07.2026 20:08,24.08.2026 16:30,20327,16
020.020.0050,09018064,Profile,Abschlussprofile Winkel,Abschlussprofil Messing natur hochglanzpoliert 6mm 250 cm,"Abschlussprofil aus Messing natur hochglanzpoliert für den sauberen Abschluss keramischer Wand- und Bodenbeläge. Das Profil schützt freiliegende Belagskanten und bildet eine gerade, belastbare Abschlusskante. Abmessung: 250 cm, Material: Messing, Oberfläche: hochglanzpoliert, Farbe: natur, Artikelnummer: 09018064.",Abschlussprofil Messing natur hochglanzpoliert 6mm 250 cm,"DSM 60-SP, 250",4018448039571,STORABLE,lfm,gid://shopify/Product/15986687410506,Ja,Ja,STANDARD,Ja,Ja,Nein,KILOGRAM,Messing,hochglanzpoliert,Natur,DUROSOL,A,lfm,,10,40,300,,250,6,,,,,,"0,197",gid://shopify/Product/15986687410506,gid://shopify/ProductVariant/63188253507914,28.78,DURAL GmbH,10000,12.04,74072190,106697,150490,,4259,05.07.2026 20:08,24.08.2026 16:30,20327,16
020.020.0060,0901808099,Profile,Abschlussprofile Winkel,Biegbares Abschlussprofil Messing natur 8 mm 250 cm,"Biegbares Abschlussprofil aus Messing natur für den sauberen Abschluss keramischer Wand- und Bodenbeläge. Das Profil schützt freiliegende Belagskanten und bildet eine gerade, belastbare Abschlusskante. Abmessung: 8 mm 250 cm, Material: Messing, Farbe: natur, Artikelnummer: 0901808099.",Biegbares Abschlussprofil Messing natur 8 mm 250 cm,"DSM 80-ZF, 250",4018448053737,STORABLE,lfm,gid://shopify/Product/15986688622922,Ja,Ja,STANDARD,Ja,Ja,Nein,KILOGRAM,Messing,unbehandelt,Natur,DUROSOL,A,lfm,,10,40,,,250,8,,,,,,"0,232",gid://shopify/Product/15986688622922,gid://shopify/ProductVariant/63188288962890,20.54,DURAL GmbH,10000,8.59,74072190,106698,150494,,4259,05.07.2026 20:08,24.08.2026 16:30,20327,16
020.020.0070,09018083,Profile,Abschlussprofile Winkel,Abschlussprofil Messing natur 8 mm 250 cm,"Abschlussprofil aus Messing natur für den sauberen Abschluss keramischer Wand- und Bodenbeläge. Das Profil schützt freiliegende Belagskanten und bildet eine gerade, belastbare Abschlusskante. Abmessung: 8 mm 250 cm, Material: Messing, Farbe: natur, Artikelnummer: 09018083.",Abschlussprofil Messing natur 8 mm 250 cm,"DSM 80, 250",4018448039540,STORABLE,lfm,gid://shopify/Product/15986689605962,Ja,Ja,STANDARD,Ja,Ja,Nein,KILOGRAM,Messing,unbehandelt,Natur,DUROSOL,A,lfm,,10,40,300,,250,8,,,,,,"0,222",gid://shopify/Product/15986689605962,gid://shopify/ProductVariant/63188321141066,16.82,DURAL GmbH,10000,7.04,74072190,106699,150498,,4259,05.07.2026 20:08,24.08.2026 16:30,20327,16
020.020.0080,09018084,Profile,Abschlussprofile Winkel,Abschlussprofil Messing natur hochglanzpoliert 8 mm 250 cm,"Abschlussprofil aus Messing natur hochglanzpoliert für den sauberen Abschluss keramischer Wand- und Bodenbeläge. Das Profil schützt freiliegende Belagskanten und bildet eine gerade, belastbare Abschlusskante. Abmessung: 8 mm 250 cm, Material: Messing, Oberfläche: hochglanzpoliert, Farbe: natur, Artikelnummer: 09018084.",Abschlussprofil Messing natur hochglanzpoliert 8 mm 250 cm,"DSM 80-SP, 250",4018448039601,STORABLE,lfm,gid://shopify/Product/15986691146058,Ja,Ja,STANDARD,Ja,Ja,Nein,KILOGRAM,Messing,hochglanzpoliert,Natur,DUROSOL,A,lfm,,10,40,300,,250,8,,,,,,"0,222",gid://shopify/Product/15986691146058,gid://shopify/ProductVariant/63188355711306,29.82,DURAL GmbH,10000,12.49,74072190,106700,150502,,4259,05.07.2026 20:08,24.08.2026 16:30,20327,16
020.020.0090,09018090,Profile,Abschlussprofile Winkel,Abschlussprofil Messing natur 9 mm 250 cm,"Abschlussprofil aus Messing natur für den sauberen Abschluss keramischer Wand- und Bodenbeläge. Das Profil schützt freiliegende Belagskanten und bildet eine gerade, belastbare Abschlusskante. Abmessung: 9 mm 250 cm, Material: Messing, Farbe: natur, Artikelnummer: 09018090.",Abschlussprofil Messing natur 9 mm 250 cm,"DSM 90, 250",4018448005958,STORABLE,lfm,gid://shopify/Product/15986692358474,Ja,Ja,STANDARD,Ja,Ja,Nein,KILOGRAM,Messing,unbehandelt,Natur,DUROSOL,A,lfm,,10,40,300,,250,9,,,,,,"0,237",gid://shopify/Product/15986692358474,gid://shopify/ProductVariant/63188389167434,17.34,DURAL GmbH,10000,7.25,74072190,106701,150506,,4259,05.07.2026 20:08,24.08.2026 16:30,20327,16
