ARTIKELNAME;Handelssprache;Lokaler Artikelname;Lieferantenartikelnummer;Lieferanten Firmenname;LIEFERANTENNUMMER;Bruttokaufpreis;Zu- und Abschläge Bezeichnung 1;Zu- und Abschläge Preisart 1;Zu- und Abschläge Wert 1;Zu- und Abschläge Bezeichnung 2;Zu- und Abschläge Preisart 2;Zu- und Abschläge Wert 2;Währung;Artikel-Mengeneinheit;Matchcode;Artikel aktiv;Preis-Eintritt;Warengruppen-Name;Warengruppen Beschreibung;Steuersatz;Zugehörigen Verkaufsartikel erstellen oder aktualisieren;Verkaufsartikel-Nummer;Bruttopreis des zugehörigen Verkaufsartikels;Verkaufsartikel-Währung;Vertriebsweg;Vertriebsweg-Steuersatz;Kurztext 1;Handelssprache;Lokalisierte Kurztext 1;Kurztext 2;Handelssprache;Lokalisierte Kurztext 2;Artikelbeschreibung;Handelssprache;Lokalisierte Artikelbeschreibung;Interner Hinweis;Handelssprache;Lokalisierter interner Hinweis;Artikel-Langbeschreibung;Handelssprache;Lokalisierte Lange Artikelbeschreibung;EAN-Nummer;MPN-Nummer;Artikeltyp;Serienartikel;Hersteller;Bruttogewicht;Nettogewicht;Zolltarifnummer;Länge Artikel;Breite Artikel;Höhe Artikel;Herstellertyp;Einführungsdatum;Sicherheitstage;Mindestlagerbestand;Zielbestand;Wiederbeschaffungstage;Durchschnittliche Lieferzeit;Mindestbestellmenge;Gebindemenge;Lieferantenbestand;Dropshipping möglich;In Dropshipping-Automatisierung ignorieren;Kostenstelle Verkauf;Kostenstelle Einkauf;Kostenart;Primäre Bezugsquelle
Abschlussprofil Messing natur 3 mm 250 cm;;;09018030;Dural GmbH;10000;14,88;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;;;;;;;;;;020.020.0010;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Biegbares Abschlussprofil Messing natur 3 mm 250 cm;;;0901803099;Dural GmbH;10000;17,62;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;;;;;;;;;;020.020.0020;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Biegbares Abschlussprofil Messing natur 250 cm;;;0901806099;Dural GmbH;10000;19,48;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;;;;;;;;;;020.020.0030;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Abschlussprofil Messing natur 250 cm;;;09018063;Dural GmbH;10000;15,84;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;;;;;;;;;;020.020.0040;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Abschlussprofil Messing natur hochglanzpoliert 250 cm;;;09018064;Dural GmbH;10000;28,78;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;;;;;;;;;;020.020.0050;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Biegbares Abschlussprofil Messing natur 8 mm 250 cm;;;0901808099;Dural GmbH;10000;20,54;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;;;;;;;;;;020.020.0060;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Abschlussprofil Messing natur 8 mm 250 cm;;;09018083;Dural GmbH;10000;16,82;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;;;;;;;;;;020.020.0070;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Abschlussprofil Messing natur hochglanzpoliert 8 mm 250 cm;;;09018084;Dural GmbH;10000;29,82;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;;;;;;;;;;020.020.0080;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Abschlussprofil Messing natur 9 mm 250 cm;;;09018090;Dural GmbH;10000;17,34;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;;;;;;;;;;020.020.0090;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Biegbares Abschlussprofil Messing natur 10 mm 250 cm;;;0901810099;Dural GmbH;10000;21,76;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;;;;;;;;;;020.020.0100;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Abschlussprofil Messing natur 10 mm 250 cm;;;09018103;Dural GmbH;10000;18,04;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;;;;;;;;;;020.020.0110;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Abschlussprofil Messing natur hochglanzpoliert 10 mm 250 cm;;;09018104;Dural GmbH;10000;31,04;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;;;;;;;;;;020.020.0120;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Abschlussprofil Messing natur 11 mm 250 cm;;;09018110;Dural GmbH;10000;18,56;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;;;;;;;;;;020.020.0130;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Biegbares Abschlussprofil Messing natur 11 mm 250 cm;;;0901811099;Dural GmbH;10000;22,3;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;;;;;;;;;;020.020.0140;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Biegbares Abschlussprofil Messing natur 12,5 mm 250 cm;;;0901812099;Dural GmbH;10000;22,82;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;;;;;;;;;;020.020.0150;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Abschlussprofil Messing natur 12,5 mm 250 cm;;;09018123;Dural GmbH;10000;19,04;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;;;;;;;;;;020.020.0160;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Abschlussprofil Messing natur hochglanzpoliert 12,5 mm 250 cm;;;09018124;Dural GmbH;10000;32,02;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;;;;;;;;;;020.020.0170;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Abschlussprofil Messing natur 15 mm 250 cm;;;09018150;Dural GmbH;10000;21,52;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;;;;;;;;;;020.020.0180;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Biegbares Abschlussprofil Messing natur 15 mm 250 cm;;;0901815099;Dural GmbH;10000;24,28;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;;;;;;;;;;020.020.0190;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Abschlussprofil Messing natur 18,5 mm 250 cm;;;09018180;Dural GmbH;10000;24,1;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;;;;;;;;;;020.020.0200;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Biegbares Abschlussprofil Messing natur 18,5 mm 250 cm;;;0901818099;Dural GmbH;10000;26,98;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;;;;;;;;;;020.020.0210;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Abschlussprofil Messing natur 20 mm 250 cm;;;09018200;Dural GmbH;10000;24,96;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;;;;;;;;;;020.020.0220;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Biegbares Abschlussprofil Messing natur 20 mm 250 cm;;;0901820099;Dural GmbH;10000;27,92;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;;;;;;;;;;020.020.0230;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Abschlussprofil Messing natur 22 mm 250 cm;;;09018220;Dural GmbH;10000;26,52;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;;;;;;;;;;020.020.0240;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
